StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ra,consent,enrollment,idimp,idthink,idinfluence,idclub,idmusic,idrec,home,idyears_2,hiunc_1,hiunc_2,hiunc_3,lowunc_1,lowunc_2,lowunc_3,knownmanipcheck,time_negat_First Click,time_negat_Last Click,time_negat_Page Submit,time_negat_Click Count,unknownmanip,Time_First Click,Time_Last Click,Time_Page Submit,Time_Click Count,slangconf1,slangconf2,simstudent_1,uncertslang_1,entitdv_entitdv_1,entitdv_entitdv_2,entitdv_entitdv_3,entitdv_entitdv_4,entitdv_entitdv_5,entitdv_entitdv_6,entitdv_entitdv_7,entitdv_entitdv_8,entitdv_entitdv_9,enttextdv,protodv_protodv_1,protodv_protodv_2,protodv_protodv_3,protodv_protodv_4,protodv_protodv_5,hsuiddv_hsuiddv_1,hsuiddv_hsuiddv_2,hsuiddv_hsuiddv_3,hsuiddv_hsuiddv_4,hsuiddv_hsuiddv_5,hsuiddv_hsuiddv_6,hsuiddv_hsuiddv_7,hsuiddv_hsuiddv_8,hsuiddv_hsuiddv_9,uncdv_uncdv_1,uncdv_uncdv_2,uncdv_uncdv_3,uncdv_uncdv_4,uncdv_uncdv_5,ostdv_ostdv_1,ostdv_ostdv_2,ostdv_ostdv_3,ostdv_ostdv_4,ostdv_ostdv_5,ostdv_ostdv_6,ostdv_ostdv_7,ostdv_ostdv_8,ostdv_ostdv_9,ostdv_ostdv_10,ostdv_ostdv_11,gender,gender_4_TEXT,ethnicity,ethnicity_7_TEXT,classstand,age_4,nation,nation_2_TEXT,hiunc_2 - Topics
5/1/2017 12:01,5/1/2017 12:08,0,137.150.93.45,100,455,1,5/1/2017 12:08,R_3ly20A24PAhOHoZ,,,,,40.85360718,-124.0502014,anonymous,EN,BS,1,1,7,7,7,4,1,4,3,1,,,,Support,Self-care,Personality,Two people talking about another persons action in the quad.,66.059,66.059,86.876,1,,,,,,5,6,3,5,7,7,7,7,7,7,7,7,4,HSU students are more friendly than other CSU campus's. ,6,6,4,6,7,7,7,7,7,7,7,7,7,7,2,2,5,4,6,3,3,3,7,7,3,3,3,7,7,7,2,,5,,1,19,1,,
5/1/2017 12:27,5/1/2017 12:33,0,137.150.93.45,100,323,1,5/1/2017 12:33,R_1PR7xbvIk39GFTD,,,,,40.85360718,-124.0502014,anonymous,EN,BS,1,1,6,5,4,1,4,1,3,3,future,other people,relationships,,,,,,,,,i dont know,24.219,24.219,34.568,1,4,4,1,2,4,4,4,4,4,4,5,5,4,We are all students and attend school everyday despite our personal struggles.,4,4,7,7,7,4,5,7,4,4,4,4,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,,1,,3,20,1,,
5/1/2017 12:26,5/1/2017 12:35,0,137.150.93.222,100,515,1,5/1/2017 12:35,R_PC1eiM7WH4Zmif7,,,,,40.85360718,-124.0502014,anonymous,EN,BS,1,1,7,5,4,1,1,1,2,3,,,,being in college,graduating from a 4-year,getting my grades up over the past year,"someone was who trims cannabis for money was in the quad talking bad about others, he told others he was aware of some truth, and he will probably be in the quad tomorrow doing the same thing ",44.243,44.243,141.8,1,,,,,,5,4,3,4,4,3,3,3,3,4,4,4,5,The student body here is different from other places for example people dress more freely and do not wear shoes as for the questions above i do not feel like we are a group everyone does their own thing,3,2,1,1,1,4,4,6,3,4,4,4,3,3,2,2,2,2,5,2,2,2,6,6,2,2,2,4,4,4,2,,1,,3,21,1,,
5/1/2017 14:52,5/1/2017 15:11,0,137.150.93.36,100,1155,1,5/1/2017 15:11,R_2QVXVljUJ8AN6jO,,,,,40.85360718,-124.0502014,anonymous,EN,BC,1,1,7,6,6,2,4,3,3,2,,,,watching my daughter blossom and knowing that I was instrumental in her growth.,getting good grades in my classes,having someone tell me they are proud of my accomplishments,,,,,,One person asked another if he witnessed an event that took place in a community meeting place. The other person stated that he didn't because he was going to class and then further asks if it was a particular person that he doesn't respect. Person 1 then says that this individual was incredibly bolstering himself and his ego while simultaneously talking down to a student who frequently sleeps and then that he stated he had some newfound epiphany related to whatever he was talking about. Person 2 says that has him laughing and asks for more information on the encounter.  Person 1 says he does not know what happened afterwards but this person is believed to be a homeless person by others and he assumes that he went to go dumpster-dive in a trash can. Person 2 says that he's probably a worker on a local weed plantation and they will probably see him around tomorrow.,62.295,285.344,408.49,2,6,6,5,5,5,4,4,2,3,4,3,3,6,"I believe that students at HSU use a lot of the same terms and speech that others do since there is such a blending of cultures from the people that move here and the networking ability of the internet/social media, with the exception of the term ""trimmigrant"". Students at HSU have a wide range of different ways that they present themselves through their body language and attire. I see the student body as not being too cohesive other than sharing beliefs of liberal political views and at least a degree of what it takes to be a university student pursuing higher education.",5,4,4,5,4,5,3,6,5,6,6,5,4,4,5,5,5,5,6,5,4,6,5,5,4,4,4,5,5,6,1,,7,,4,25,1,,
5/1/2017 14:52,5/1/2017 15:12,0,137.150.93.50,100,1197,1,5/1/2017 15:12,R_ylQvvM2DElAQ6rL,,,,,40.85360718,-124.0502014,anonymous,EN,BC,1,1,6,6,7,1,2,2,4,26,My Academic Counselor ,My Marital Status ,My daughter,,,,Guy texted his friend about a funny shoe-less guy in the quad talking about how he is more awake and aware. He was showing his intelligence and also trying to wake another student up- the slumber jack. Friend discusses the guy and how he might be a trimmigrant and that they will probably see him tomorrow too.  ,104.35,268.183,276.767,12,,,,,,6,6,2,2,6,5,3,4,4,3,5,4,7,"We are extremely diversified. We also don't give AF about what we wear. Can dress professional or in pajamas, students just don't really care. I believe we are full of more love and understanding. We are also more involved with our community and have love for the redwood rain forest and the environment. I would say we excel above the rest when it comes to making a positive impact on our societies  after attending HSU.. ",6,6,4,6,6,6,7,7,7,7,7,6,5,6,2,2,5,2,2,5,3,4,5,5,2,2,1,6,6,4,2,,7,Native American,3,26,1,,
5/1/2017 15:24,5/1/2017 15:32,0,137.150.93.36,100,507,1,5/1/2017 15:32,R_2Y5PoHcuoFRVIZL,,,,,40.85360718,-124.0502014,anonymous,EN,BC,1,1,7,7,7,2,2,2,1,1,nothing,nothing,nothing,,,,They saw a person in a meeting place where the guy was being disrespectful and known for trimming,61.967,98.654,131.119,2,,,,,,7,7,7,1,7,7,7,7,7,7,7,7,5,Very calm and laid back people,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,7,7,1,1,1,7,7,5,1,,1,,3,24,1,,
5/1/2017 15:34,5/1/2017 15:45,0,137.150.93.36,100,654,1,5/1/2017 15:45,R_2b13bl2B68HrBsQ,,,,,40.85360718,-124.0502014,anonymous,EN,BC,1,1,6,5,6,2,2,3,2,1,,,,DOING WELL IN SCHOOL,MAKING FRIENDS,INDULGING IN ACTIVITIES THAT I LIKE,,,,,,"SOME FRIENDS GOT IN A FIGHT WITH ""SLUMBERJACK"" AND HE KNOWS THE REAL TRUTH ... HONESTLY I HAVE NO IDEA",68.382,141.249,142.896,2,5,2,2,6,6,5,5,5,4,5,4,4,6,THE DEMOGRAPHIC OF PEOPLE ATTRACTED TO HUMBOLDT STATE IS REALLY BIZARRE. THERE ARE PEOPLE HERE WHO ARE SUPER ECO-FRIENDLY AND LOVE THE PLANET AND THERE ARE PEOPLE HERE WHO ARE SUPER STONERS AND ARE HERE BECAUSE THE WEED IS CHEAP.,4,4,5,5,4,6,5,6,5,5,5,5,5,5,4,3,3,3,3,5,2,2,2,2,2,2,2,2,2,2,2,,6,,1,18,1,,
5/1/2017 16:04,5/1/2017 16:18,0,137.150.93.36,100,847,1,5/1/2017 16:18,R_DpjOXGcOdevFDDr,,,,,40.85360718,-124.0502014,anonymous,EN,BC,1,1,7,6,5,4,2,4,3,3,What I will do with my Bachelors,When will I be financially stable,When will I be ready for a serious relationship/family,,,,,,,,,One student was telling his friend about what he saw in quad on campus. Im assuming it was another open mic rally that the campus has every once in a while. It sounds like the person talking was being rude towards a humboldt female student. Sounds like the guy was a bit hippy and was trimmer that eventually wandered off away from the quad. they seem to think they will most likely run into the same guy again.,95.655,95.655,243.262,1,3,3,2,6,5,3,3,3,5,3,5,3,3,HSU students are generally less convervative than most other groups. The dress code is more free and less restrictive among HSU students. There is an ample supply of personal expression that comes out throughout the campus. ,5,3,5,5,3,5,5,7,6,6,6,5,5,5,2,2,5,2,2,6,2,5,6,4,4,4,4,4,2,6,2,,6,,4,22,1,,
5/1/2017 16:31,5/1/2017 16:43,0,137.150.93.50,100,723,1,5/1/2017 16:43,R_1NCCd0WVYJdkIWg,,,,,40.85360718,-124.0502014,anonymous,EN,BC,1,1,6,4,5,1,4,2,3,1,IF I WANT TO RETURN TO HSU NEXT YEAR,MY ABILITY TO SUCCEED IN MY CAREER,MY JOB,,,,a GUY WHO WASNT WEARING SHOES WAS HATING ON SOMEONE WHO SLEEPS IN CLASS. THEY BOTH WERE TRIMMIGRANTS WHO THEY WILL SEE TOMORROW,2.277,60.144,111.625,4,,,,,,2,2,1,6,6,6,6,4,5,6,6,6,6,ALOT OF STUDENTS HERE HAVE A HIPPIE STYLE. IF I DRESS THE WAY I DO HERE BACK AT HOME PEOPLE STARE AT ME BUT HERE PEOPLE THINK IM NORMAL. I FEEL THAT STUDENTS ARE LIBERAL IN THEIR BELEIFS AND WE ALL ARE INTERESTED IN BEING GREEN. I THINK STUDENTS HERE ARE VERY LAID BACK AND NON JUDGEMENTAL. ,5,5,5,7,7,7,7,7,7,4,5,6,6,4,5,5,5,5,3,5,1,2,4,4,4,1,4,1,5,1,2,,5,,1,19,1,,
5/1/2017 16:31,5/1/2017 16:43,0,137.150.93.36,100,730,1,5/1/2017 16:43,R_2WvBLNU0VHkYT8i,,,,,40.85360718,-124.0502014,anonymous,EN,BC,1,1,6,5,5,1,2,1,2,1,,,,KNOWLEDGE,being able to succeed,being connected to reality,Some fool was being ridiculous and tried roasting some sleepy head. Then it so happened he went to the garbage...?,58.347,58.347,107.81,1,,,,,,6,5,2,2,3,4,5,4,3,2,4,4,6,"I'm relatively sure that most students fall into two types: straight and liberal. Straight as in law abiding, sexually oriented straight, and relatively 'normal'. Liberal as in the complete opposite almost like the manifestation of ""I don't care. Bite me. But do it in a politically correct way that doesn't hurt people.""",4,6,4,5,4,3,2,2,2,4,3,4,3,2,6,6,6,6,2,2,2,2,2,2,2,2,2,2,6,2,1,,5,,1,19,2,Spanish,
